id	idno	repo	title
33	IND-CSO-ASI-SUMMARY-82-83	central	Annual Survey of Industries Summary 1982-83
32	IND-CSO-ASI-SUMMARY-81-82	central	Annual Survey of Industries Summary 1981-82
31	IND-CSO-ASI-SUMMARY-80-81	central	Annual Survey of Industries Summary 1980-81
30	IND-CSO-ASI-SUMMARY-79-80	central	Annual Survey of Industries Summary 1979-80
28	IND-CSO-ASI-SUMMARY-77-78	central	Annual Survey of Industries Summary 1977-78
27	IND-CSO-ASI-SUMMARY-76-77	central	Annual Survey of Industries Summary 1976-77
26	IND-CSO-ASI-2013-14	ASI	Annual Survey of Industries 2013-14
25	IND-CSO-ASI-2012-13	ASI	Annual Survey of Industries 2012-13
24	IND-CSO-ASI-2011-12-v1	ASI	Annual Survey of Industries 2011-12
23	IND-CSO-ASI-2010-11-v1	ASI	Annual Survey of Industries 2010-11
22	IND-CSO-ASI-2009-10-v1	ASI	Annual Survey of Industries 2009-10
21	IND-CSO-ASI-2008-09-v1	ASI	Annual Survey of Industries 2008-09
20	IND-CSO-ASI-2007-08-v1	ASI	Annual Survey of Industries 2007-08
19	IND-CSO-ASI-2006-07-v1	ASI	Annual Survey of Industries 2006-07
18	IND-CSO-ASI-2005-06-v1	ASI	Annual Survey of Industries 2005-06
17	IND-CSO-ASI-2004-05-v1	ASI	Annual Survey of Industries 2004-05
16	IND-CSO-ASI-2003-04-v1	ASI	Annual Survey of Industries 2003-04
15	IND-CSO-ASI-2002-03-v1	ASI	Annual Survey of Industries 2002-03
14	IND-CSO-ASI-2001-02-v1	ASI	Annual Survey of Industries 2001-02
13	IND-CSO-ASI-2000-01-v1	ASI	Annual Survey of Industries 2000-01
12	IND-CSO-ASI-1999-2000-v1	ASI	Annual Survey of Industries 1999-2000
11	IND-CSO-ASI-1998-99-v1	ASI	Annual Survey of Industries 1998-99
10	IND-CSO-ASI-1997-98-v1	ASI	Annual Survey of Industries 1997-98
9	IND-CSO-ASI-1996-97-v1	ASI	Annual Survey of Industries 1996-97
8	IND-CSO-ASI-1994-95	ASI	Annual Survey of Industries 1994-95
7	IND-CSO-ASI-1993-94-v1	central	Annual Survey of Industries 1993-94
6	IND-CSO-ASI-1989-90	central	Annual Survey of Industries 1989-90
5	IND-CSO-ASI-1984-85-v1	central	Annual Survey of Industries 1984-85
4	IND-CSO-ASI-1983-84-v1	central	Annual Survey of Industries 1983-84
3	IND-CSO-ASI-1974-v1	central	Annual Survey of Industries Summary 1974-75
2	IND-CSO-ASI-2014-15	ASI	Annual Survey of Industries 2014-15
1	DDI-IND-MOSPI-NSSO-68Rnd-Sch1.0-July2011-June2012	central	Household Consumer Expenditure, Type 1 : July 2011 - June 2012
