scope,state_code,religion,residence,mpce_rs,n_households
state,20,muslim,urban,5478.31,283
state,20,muslim,rural,3272.56,499
state,20,hindu,all,3811.83,4844
state,20,hindu,urban,5670.98,2078
state,20,hindu,rural,3275.60,2766
state,20,all,all,3666.30,6331
state,20,all,urban,5697.65,2465
state,20,all,rural,3161.32,3866
state,21,muslim,all,4898.16,121
state,21,muslim,urban,5589.09,84
state,21,muslim,rural,3950.79,37
state,21,hindu,all,3958.86,8837
state,21,hindu,urban,5920.48,2299
state,21,hindu,rural,3589.55,6538
state,21,all,all,3936.60,9213
state,21,all,urban,5881.99,2445
state,21,all,rural,3558.16,6768
state,22,muslim,all,4155.01,127
state,22,muslim,urban,4575.62,106
state,22,muslim,rural,3437.12,21
state,22,hindu,all,3115.83,4708
state,22,hindu,urban,4850.27,1921
state,22,hindu,rural,2700.99,2787
state,22,all,all,3157.26,4968
state,22,all,urban,4930.57,2112
state,22,all,rural,2703.03,2856
state,23,muslim,all,4177.06,919
state,23,muslim,urban,4643.29,657
state,23,muslim,rural,3592.39,262
state,23,hindu,all,4039.58,12984
state,23,hindu,urban,5888.44,4871
state,23,hindu,rural,3445.34,8113
state,23,all,all,4067.06,14105
state,23,all,urban,5778.25,5679
state,23,all,rural,3453.96,8426
state,24,muslim,all,5011.16,829
state,24,muslim,urban,5490.55,582
state,24,muslim,rural,4065.98,247
state,24,hindu,all,5424.20,10300
state,24,hindu,urban,7294.49,4881
state,24,hindu,rural,4146.08,5419
state,24,all,all,5433.86,11271
state,24,all,urban,7159.25,5572
state,24,all,rural,4140.53,5699
state,25,muslim,all,5861.49,34
state,25,muslim,urban,5965.79,23
state,25,muslim,rural,5275.18,11
state,25,hindu,all,5898.61,647
state,25,hindu,urban,6683.54,318
state,25,hindu,rural,4395.87,329
state,25,all,all,5895.36,698
state,25,all,urban,6661.31,344
state,25,all,rural,4408.86,354
state,27,muslim,all,5344.61,2084
state,27,muslim,urban,5976.55,1490
state,27,muslim,rural,3999.57,594
state,27,hindu,all,5671.59,19118
state,27,hindu,urban,7683.64,8687
state,27,hindu,rural,4358.94,10431
state,27,all,all,5650.05,22746
state,27,all,urban,7389.43,11117
state,27,all,rural,4323.32,11629
state,28,muslim,all,5559.82,853
state,28,muslim,urban,5975.39,528
state,28,muslim,rural,5124.38,325
state,28,hindu,all,5718.84,8702
state,28,hindu,urban,7028.83,3379
state,28,hindu,rural,5144.45,5323
state,28,all,all,5663.66,10465
state,28,all,urban,6837.99,4159
state,28,all,rural,5128.07,6306
state,29,muslim,all,5103.17,1441
state,29,muslim,urban,5670.19,942
state,29,muslim,rural,4347.67,499
state,29,hindu,all,5966.72,10799
state,29,hindu,urban,7832.16,4656
state,29,hindu,rural,5026.54,6143
state,29,all,all,5938.27,12533
state,29,all,urban,7535.07,5805
state,29,all,rural,5004.86,6728
state,30,muslim,all,8120.88,26
state,30,muslim,urban,7436.56,16
state,30,muslim,rural,10421.21,10
state,30,hindu,all,7959.76,578
state,30,hindu,urban,8574.22,260
state,30,hindu,rural,7213.44,318
