source_id,source_document,source_sha256_prefix,extraction_run,page,table,state_name,residence,all,hindu_all,hindu_sc_st,hindu_obc,hindu_general,muslim,all_others
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,West Bengal,rural,576,610,534,652,705,501,492
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,Kerala,rural,1031,970,722,986,1165,968,1286
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,Uttar Pradesh,rural,539,544,465,544,696,509,620
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,Bihar,rural,445,448,371,456,571,426,543
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,Assam,rural,577,615,578,606,675,511,524
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,Jammu Kashmir,rural,805,840,796,863,873,776,1095
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,Jharkhand,rural,439,448,407,462,571,423,405
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,Karnataka,rural,543,526,440,538,599,532,1539
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,Uttaranchal,rural,649,652,579,632,697,600,718
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,Delhi,rural,1056,1023,796,781,1146,1696,1960
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,Maharashtra,rural,597,603,459,614,693,576,520
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,Andhra Pradesh,rural,604,604,490,593,786,610,572
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,Gujarat,rural,645,644,527,594,932,668,600
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,Rajasthan,rural,598,593,506,635,690,611,853
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,Madhya Pradesh,rural,461,458,373,492,640,475,1011
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,Haryana,rural,905,913,604,794,1225,605,965
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,Tamil Nadu,rural,602,597,492,632,940,724,640
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,Orissa,rural,422,424,340,455,562,447,312
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,Himachal Pradesh,rural,836,834,672,776,949,798,997
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,Chattisgarh,rural,445,445,408,471,555,473,451
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,Punjab,rural,905,852,732,802,1103,777,921
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,386,Appendix Table 8.3,All other States,rural,707,650,535,684,774,621,782
