source_id,source_document,source_sha256_prefix,extraction_run,table,page,religion,residence,metric,value,small_sample
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,hindu,total,nn,40.3,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,hindu,total,pnn,18.2,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,hindu,total,imr,58.5,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,hindu,total,child_4q1,18.5,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,hindu,total,u5_5q0,76.0,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,muslim,total,nn,34.1,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,muslim,total,pnn,18.2,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,muslim,total,imr,52.4,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,muslim,total,child_4q1,18.6,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,muslim,total,u5_5q0,70.0,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,christian,total,nn,31.5,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,christian,total,pnn,10.1,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,christian,total,imr,41.7,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,christian,total,child_4q1,11.6,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,christian,total,u5_5q0,52.8,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,sikh,total,nn,35.9,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,sikh,total,pnn,9.7,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,sikh,total,imr,45.6,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,sikh,total,child_4q1,6.8,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,sikh,total,u5_5q0,52.1,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,buddhist,total,nn,43.0,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,buddhist,total,pnn,9.8,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,buddhist,total,imr,52.8,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,buddhist,total,child_4q1,17.1,false
nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,c1fb9db3227ef6de,nfhs-table72-total-extract-v1.0.0-20260529T033307Z,7.2,231,buddhist,total,u5_5q0,69.0,false
