source_id,source_document,source_sha256_prefix,extraction_run,table,page,religion,residence,metric,value,small_sample
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,hindu,urban,nn,18.4,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,hindu,urban,pnn,8.5,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,hindu,urban,imr,26.9,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,hindu,urban,child_4q1,4.9,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,hindu,urban,u5_5q0,31.7,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,hindu,rural,nn,27.9,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,hindu,rural,pnn,11.0,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,hindu,rural,imr,38.9,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,hindu,rural,child_4q1,7.9,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,hindu,rural,u5_5q0,46.6,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,muslim,urban,nn,18.7,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,muslim,urban,pnn,9.0,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,muslim,urban,imr,27.8,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,muslim,urban,child_4q1,5.2,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,muslim,urban,u5_5q0,32.8,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,muslim,rural,nn,25.9,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,muslim,rural,pnn,10.5,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,muslim,rural,imr,36.5,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,muslim,rural,child_4q1,6.7,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,muslim,rural,u5_5q0,42.9,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,christian,urban,nn,7.0,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,christian,urban,pnn,5.7,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,christian,urban,imr,12.6,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,christian,urban,child_4q1,1.1,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,christian,urban,u5_5q0,13.7,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,christian,rural,nn,23.3,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,christian,rural,pnn,10.4,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,christian,rural,imr,33.7,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,christian,rural,child_4q1,5.0,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,christian,rural,u5_5q0,38.5,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,sikh,urban,nn,7.0,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,sikh,urban,pnn,12.6,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,sikh,urban,imr,19.6,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,sikh,urban,child_4q1,5.6,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,sikh,urban,u5_5q0,25.1,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,sikh,rural,nn,23.1,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table72-extract-v1.0.0-20260527T224226Z,7.2,284,sikh,rural,pnn,8.8,false
