religion,residence,avg_assets_rs,avg_debt_rs,avg_net_worth_rs,ioi_pct,institutional_debt_share_pct,n_households
muslim,all,947674,31260,916415,23.80,68.31,13701
muslim,rural,791325,27826,763499,26.92,64.58,6349
muslim,urban,1191578,36616,1154962,18.93,72.73,7352
hindu,all,1420821,51954,1368867,29.00,72.41,86095
hindu,rural,951820,32232,919587,32.30,53.80,49385
hindu,urban,2338668,90550,2248118,22.53,85.37,36710
christian,all,2168213,86959,2081254,28.85,79.93,6989
christian,rural,1533675,42700,1490975,24.26,74.81,4009
christian,urban,2876062,136332,2739730,33.97,81.71,2980
sikh,all,5159571,84735,5074836,29.99,74.07,1966
sikh,rural,5426051,85799,5340253,34.37,67.64,1207
sikh,urban,4674193,82798,4591395,22.02,86.22,759
all,all,1445591,50709,1394882,28.27,72.58,110800
all,rural,1004647,32522,972125,31.44,55.98,62135
all,urban,2267907,84625,2183282,22.37,84.48,48665
