source_id,source_document,source_sha256_prefix,extraction_run,row_type,year,geography,communal_incidents,page,report_year
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Telangana,4,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Tripura,0,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Uttar Pradesh,0,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Uttarakhand,1,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,West Bengal,0,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,subtotal_2022,2022,TOTAL STATE(S),272,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,A&N Islands,0,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Chandigarh,0,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Delhi,0,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Jammu & Kashmir,0,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Ladakh,0,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Lakshadweep,0,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Puducherry,0,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,subtotal_2022,2022,TOTAL UT(S),0,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,subtotal_2022,2022,TOTAL ALL INDIA,272,67,2022
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Andhra Pradesh,0,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Arunachal Pradesh,0,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Assam,1,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Bihar,107,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Chhattisgarh,4,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Goa,0,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Gujarat,5,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Haryana,11,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Himachal Pradesh,0,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Jharkhand,19,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Karnataka,18,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Kerala,1,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Madhya Pradesh,18,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Maharashtra,27,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Manipur,0,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Meghalaya,0,67,2023
