source_id,source_document,source_sha256_prefix,extraction_run,table,page,religion,indicator,age_cohort,residence,sex,value
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,396,hindu,WPR,all_age,total,male,56.9
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,396,hindu,WPR,all_age,total,female,32.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,396,hindu,WPR,all_age,total,person,44.7
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,LFPR,15plus,rural,male,81.6
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,LFPR,15plus,rural,female,36.1
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,LFPR,15plus,rural,person,58.2
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,LFPR,15plus,urban,male,78.9
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,LFPR,15plus,urban,female,19.6
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,LFPR,15plus,urban,person,49.4
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,LFPR,15plus,total,male,80.6
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,LFPR,15plus,total,female,30.2
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,LFPR,15plus,total,person,55.0
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,LFPR,all_age,rural,male,53.7
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,LFPR,all_age,rural,female,25.0
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,LFPR,all_age,rural,person,39.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,LFPR,all_age,urban,male,57.1
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,LFPR,all_age,urban,female,14.6
