round,year,religion,residence,sex,n_workers,avg_monthly_earnings_rs
2019-20,2019,all,all,all,41503,16966
2019-20,2019,all,all,male,31156,17972
2019-20,2019,all,all,female,10343,13852
2019-20,2019,all,rural,all,13702,13117
2019-20,2019,all,rural,male,10383,14051
2019-20,2019,all,rural,female,3316,10044
2019-20,2019,all,urban,all,27801,19411
2019-20,2019,all,urban,male,20773,20529
2019-20,2019,all,urban,female,7027,16079
2020-21,2020,muslim,all,all,4070,14813
2020-21,2020,muslim,all,male,3449,15341
2020-21,2020,muslim,all,female,621,11887
2020-21,2020,muslim,rural,all,1377,13816
2020-21,2020,muslim,rural,male,1164,14541
2020-21,2020,muslim,rural,female,213,10122
2020-21,2020,muslim,urban,all,2693,15468
2020-21,2020,muslim,urban,male,2285,15854
2020-21,2020,muslim,urban,female,408,13197
2020-21,2020,hindu,all,all,31565,17749
2020-21,2020,hindu,all,male,23707,19133
2020-21,2020,hindu,all,female,7851,13459
2020-21,2020,hindu,rural,all,10137,14046
2020-21,2020,hindu,rural,male,7672,15449
2020-21,2020,hindu,rural,female,2465,9610
2020-21,2020,hindu,urban,all,21428,20436
2020-21,2020,hindu,urban,male,16035,21828
2020-21,2020,hindu,urban,female,5386,16182
2020-21,2020,christian,all,all,3374,20695
2020-21,2020,christian,all,male,2250,21566
2020-21,2020,christian,all,female,1124,19214
2020-21,2020,christian,rural,all,1329,17117
2020-21,2020,christian,rural,male,913,18177
2020-21,2020,christian,rural,female,416,14961
2020-21,2020,christian,urban,all,2045,23408
2020-21,2020,christian,urban,male,1337,24447
2020-21,2020,christian,urban,female,708,21860
2020-21,2020,sikh,all,all,825,15964
2020-21,2020,sikh,all,male,643,16960
2020-21,2020,sikh,all,female,182,12660
2020-21,2020,sikh,rural,all,381,14070
2020-21,2020,sikh,rural,male,307,15337
2020-21,2020,sikh,rural,female,74,8963
2020-21,2020,sikh,urban,all,444,18508
2020-21,2020,sikh,urban,male,336,19370
2020-21,2020,sikh,urban,female,108,16240
2020-21,2020,all,all,all,40728,17588
2020-21,2020,all,all,male,30647,18840
2020-21,2020,all,all,female,10074,13645
2020-21,2020,all,rural,all,13558,14194
2020-21,2020,all,rural,male,10273,15535
2020-21,2020,all,rural,female,3285,9877
2020-21,2020,all,urban,all,27170,20064
2020-21,2020,all,urban,male,20374,21270
2020-21,2020,all,urban,female,6789,16321
2021-22,2021,muslim,all,all,4695,15233
2021-22,2021,muslim,all,male,3975,15613
2021-22,2021,muslim,all,female,720,12688
2021-22,2021,muslim,rural,all,1618,14214
2021-22,2021,muslim,rural,male,1383,14875
2021-22,2021,muslim,rural,female,235,9270
2021-22,2021,muslim,urban,all,3077,15981
2021-22,2021,muslim,urban,male,2592,16169
2021-22,2021,muslim,urban,female,485,14820
2021-22,2021,hindu,all,all,33204,19226
2021-22,2021,hindu,all,male,25289,20413
2021-22,2021,hindu,all,female,7912,15251
2021-22,2021,hindu,rural,all,10875,15128
2021-22,2021,hindu,rural,male,8478,16372
2021-22,2021,hindu,rural,female,2396,10281
2021-22,2021,hindu,urban,all,22329,22275
2021-22,2021,hindu,urban,male,16811,23599
2021-22,2021,hindu,urban,female,5516,18283
2021-22,2021,christian,all,all,3350,22680
2021-22,2021,christian,all,male,2263,24570
2021-22,2021,christian,all,female,1087,19589
2021-22,2021,christian,rural,all,1320,20282
2021-22,2021,christian,rural,male,920,21831
2021-22,2021,christian,rural,female,400,17399
2021-22,2021,christian,urban,all,2030,24645
2021-22,2021,christian,urban,male,1343,27024
2021-22,2021,christian,urban,female,687,21142
2021-22,2021,sikh,all,all,810,17155
2021-22,2021,sikh,all,male,599,19264
2021-22,2021,sikh,all,female,211,11741
2021-22,2021,sikh,rural,all,408,13688
2021-22,2021,sikh,rural,male,304,15344
2021-22,2021,sikh,rural,female,104,9325
2021-22,2021,sikh,urban,all,402,23427
2021-22,2021,sikh,urban,male,295,26508
2021-22,2021,sikh,urban,female,107,15886
2021-22,2021,all,all,all,43044,18953
2021-22,2021,all,all,male,32799,20025
2021-22,2021,all,all,female,10242,15296
2021-22,2021,all,rural,all,14624,15193
2021-22,2021,all,rural,male,11368,16355
2021-22,2021,all,rural,female,3255,10635
2021-22,2021,all,urban,all,28420,21793
2021-22,2021,all,urban,male,21431,22948
2021-22,2021,all,urban,female,6987,18224
2022-23,2022,muslim,all,all,4920,15595
2022-23,2022,muslim,all,male,4182,16246
2022-23,2022,muslim,all,female,738,11939
2022-23,2022,muslim,rural,all,1646,14212
2022-23,2022,muslim,rural,male,1440,15083
2022-23,2022,muslim,rural,female,206,9417
2022-23,2022,muslim,urban,all,3274,16733
2022-23,2022,muslim,urban,male,2742,17199
2022-23,2022,muslim,urban,female,532,14077
2022-23,2022,hindu,all,all,34419,20039
2022-23,2022,hindu,all,male,25712,21334
2022-23,2022,hindu,all,female,8707,16045
2022-23,2022,hindu,rural,all,11388,15833
2022-23,2022,hindu,rural,male,8679,17016
2022-23,2022,hindu,rural,female,2709,11819
2022-23,2022,hindu,urban,all,23031,23314
2022-23,2022,hindu,urban,male,17033,24836
2022-23,2022,hindu,urban,female,5998,18945
2022-23,2022,christian,all,all,3569,25671
2022-23,2022,christian,all,male,2342,27950
2022-23,2022,christian,all,female,1226,22024
2022-23,2022,christian,rural,all,1417,22231
2022-23,2022,christian,rural,male,940,24722
2022-23,2022,christian,rural,female,477,17698
2022-23,2022,christian,urban,all,2152,28526
2022-23,2022,christian,urban,male,1402,30882
2022-23,2022,christian,urban,female,749,25130
2022-23,2022,sikh,all,all,981,18255
2022-23,2022,sikh,all,male,741,20239
2022-23,2022,sikh,all,female,240,11418
2022-23,2022,sikh,rural,all,469,12730
2022-23,2022,sikh,rural,male,353,14232
2022-23,2022,sikh,rural,female,116,7155
2022-23,2022,sikh,urban,all,512,26611
2022-23,2022,sikh,urban,male,388,29706
2022-23,2022,sikh,urban,female,124,17022
2022-23,2022,all,all,all,44853,19754
2022-23,2022,all,all,male,33652,20936
2022-23,2022,all,all,female,11200,16019
2022-23,2022,all,rural,all,15270,15814
2022-23,2022,all,rural,male,11672,16961
2022-23,2022,all,rural,female,3598,11837
2022-23,2022,all,urban,all,29583,22871
2022-23,2022,all,urban,male,21980,24204
2022-23,2022,all,urban,female,7602,18943
2023-24,2023,muslim,all,all,5122,17747
2023-24,2023,muslim,all,male,4286,18355
2023-24,2023,muslim,all,female,836,14667
2023-24,2023,muslim,rural,all,1722,16811
2023-24,2023,muslim,rural,male,1458,17722
2023-24,2023,muslim,rural,female,264,11934
2023-24,2023,muslim,urban,all,3400,18396
2023-24,2023,muslim,urban,male,2828,18801
2023-24,2023,muslim,urban,female,572,16420
2023-24,2023,hindu,all,all,35532,21344
2023-24,2023,hindu,all,male,26135,22974
2023-24,2023,hindu,all,female,9397,16602
2023-24,2023,hindu,rural,all,11838,16528
2023-24,2023,hindu,rural,male,8935,17999
2023-24,2023,hindu,rural,female,2903,11598
2023-24,2023,hindu,urban,all,23694,25032
2023-24,2023,hindu,urban,male,17200,27026
2023-24,2023,hindu,urban,female,6494,19795
2023-24,2023,christian,all,all,3584,25093
2023-24,2023,christian,all,male,2339,27347
2023-24,2023,christian,all,female,1245,21640
2023-24,2023,christian,rural,all,1426,21176
2023-24,2023,christian,rural,male,951,23385
2023-24,2023,christian,rural,female,475,17928
2023-24,2023,christian,urban,all,2158,28010
2023-24,2023,christian,urban,male,1388,30218
2023-24,2023,christian,urban,female,770,24526
2023-24,2023,sikh,all,all,1011,17055
2023-24,2023,sikh,all,male,736,18623
2023-24,2023,sikh,all,female,275,13093
2023-24,2023,sikh,rural,all,500,13783
2023-24,2023,sikh,rural,male,364,15470
2023-24,2023,sikh,rural,female,136,9493
2023-24,2023,sikh,urban,all,511,22349
2023-24,2023,sikh,urban,male,372,23748
2023-24,2023,sikh,urban,female,139,18850
2023-24,2023,all,all,all,46266,21067
2023-24,2023,all,all,male,34175,22547
2023-24,2023,all,all,female,12091,16675
2023-24,2023,all,rural,all,15853,16658
2023-24,2023,all,rural,male,11956,18074
2023-24,2023,all,rural,female,3897,11907
2023-24,2023,all,urban,all,30413,24440
2023-24,2023,all,urban,male,22219,26153
2023-24,2023,all,urban,female,8194,19786
