round,year,religion,residence,sex,n_15plus,lfpr,wpr,ur,salaried_share
2018-19,2018,christian,all,all,22452,52.66,48.85,7.23,31.09
2018-19,2018,christian,all,female,11407,33.68,30.82,8.47,36.09
2018-19,2018,christian,all,male,11037,73.30,68.45,6.61,28.64
2018-19,2018,christian,rural,all,12516,55.85,52.14,6.64,20.43
2018-19,2018,christian,rural,female,6238,36.65,34.05,7.09,22.95
2018-19,2018,christian,rural,male,6274,76.04,71.17,6.42,19.17
2018-19,2018,christian,urban,all,9936,47.63,43.67,8.31,51.12
2018-19,2018,christian,urban,female,5169,29.18,25.94,11.08,62.15
2018-19,2018,christian,urban,male,4763,68.77,63.98,6.96,45.99
2018-19,2018,hindu,all,all,239629,50.78,47.94,5.59,23.73
2018-19,2018,hindu,all,female,118030,25.63,24.38,4.87,21.34
2018-19,2018,hindu,all,male,121551,75.45,71.05,5.83,24.53
2018-19,2018,hindu,rural,all,137171,51.98,49.47,4.83,13.12
2018-19,2018,hindu,rural,female,67800,27.42,26.52,3.31,10.41
2018-19,2018,hindu,rural,male,69347,76.26,72.16,5.37,14.11
2018-19,2018,hindu,urban,all,102458,47.97,44.36,7.51,51.28
2018-19,2018,hindu,urban,female,50230,21.40,19.34,9.62,56.69
2018-19,2018,hindu,urban,male,52204,73.58,68.49,6.92,49.81
2018-19,2018,jain,all,all,942,42.09,40.90,2.83,30.62
2018-19,2018,jain,all,female,476,14.70,14.47,1.61,31.26
2018-19,2018,jain,all,male,466,70.25,68.07,3.09,30.48
2018-19,2018,jain,rural,all,96,51.11,51.11,0.00,12.97
2018-19,2018,jain,rural,female,44,30.63,30.63,0.00,18.96
2018-19,2018,jain,rural,male,52,68.86,68.86,0.00,10.67
2018-19,2018,jain,urban,all,846,40.91,39.56,3.29,33.60
2018-19,2018,jain,urban,female,432,12.82,12.55,2.06,34.82
2018-19,2018,jain,urban,male,414,70.45,67.96,3.53,33.36
2018-19,2018,muslim,all,all,45700,46.18,43.15,6.57,22.16
2018-19,2018,muslim,all,female,22729,14.91,13.87,6.92,20.59
2018-19,2018,muslim,all,male,22960,77.60,72.55,6.50,22.47
2018-19,2018,muslim,rural,all,21755,46.58,43.90,5.74,13.27
2018-19,2018,muslim,rural,female,10829,15.44,14.72,4.66,11.33
2018-19,2018,muslim,rural,male,10920,78.48,73.80,5.96,13.67
2018-19,2018,muslim,urban,all,23945,45.62,42.07,7.78,35.48
2018-19,2018,muslim,urban,female,11900,14.12,12.63,10.55,36.45
2018-19,2018,muslim,urban,male,12040,76.36,70.80,7.29,35.32
2018-19,2018,other,all,all,2611,55.90,53.15,4.91,17.47
2018-19,2018,other,all,female,1306,36.89,36.34,1.51,14.30
2018-19,2018,other,all,male,1303,74.85,69.93,6.57,19.10
2018-19,2018,other,rural,all,1606,58.49,56.99,2.56,10.34
2018-19,2018,other,rural,female,797,40.68,40.35,0.83,7.99
2018-19,2018,other,rural,male,809,76.41,73.75,3.48,11.64
2018-19,2018,other,urban,all,1005,47.19,40.22,14.76,51.50
2018-19,2018,other,urban,female,509,23.71,22.38,5.60,53.90
2018-19,2018,other,urban,male,494,69.70,57.39,17.66,50.61
2018-19,2018,sikh,all,all,7027,45.78,42.49,7.18,28.45
2018-19,2018,sikh,all,female,3481,18.51,17.10,7.60,35.64
2018-19,2018,sikh,all,male,3544,71.76,66.68,7.08,26.68
2018-19,2018,sikh,rural,all,4309,46.32,43.37,6.39,22.23
2018-19,2018,sikh,rural,female,2121,19.07,17.88,6.25,26.68
2018-19,2018,sikh,rural,male,2187,72.32,67.68,6.42,21.11
2018-19,2018,sikh,urban,all,2718,44.36,40.21,9.36,45.91
2018-19,2018,sikh,urban,female,1360,17.03,15.06,11.54,63.40
2018-19,2018,sikh,urban,male,1357,70.31,64.08,8.86,41.98
2019-20,2019,all,all,all,320081,53.51,50.94,4.81,22.97
2019-20,2019,all,all,female,158647,30.01,28.76,4.16,20.09
2019-20,2019,all,all,male,161379,76.82,72.92,5.06,24.10
2019-20,2019,all,rural,all,179876,55.51,53.34,3.92,12.51
2019-20,2019,all,rural,female,89138,33.12,32.25,2.61,9.58
2019-20,2019,all,rural,male,90702,77.86,74.38,4.48,13.78
2019-20,2019,all,urban,all,140205,49.26,45.84,6.95,48.82
2019-20,2019,all,urban,female,69509,23.33,21.26,8.88,54.28
2019-20,2019,all,urban,male,70677,74.62,69.87,6.36,47.20
2019-20,2019,buddhist,all,all,3172,60.00,58.81,1.98,24.17
2019-20,2019,buddhist,all,female,1558,43.95,43.58,0.84,19.48
2019-20,2019,buddhist,all,male,1612,75.57,73.59,2.63,26.86
2019-20,2019,buddhist,rural,all,1845,66.57,66.01,0.85,12.09
2019-20,2019,buddhist,rural,female,903,56.01,55.88,0.24,7.38
2019-20,2019,buddhist,rural,male,942,76.68,75.70,1.28,15.42
2019-20,2019,buddhist,urban,all,1327,49.76,47.60,4.35,50.25
2019-20,2019,buddhist,urban,female,655,25.39,24.65,2.89,61.68
2019-20,2019,buddhist,urban,male,670,73.84,70.26,4.84,46.32
2019-20,2019,christian,all,all,22505,56.94,52.88,7.14,29.99
2019-20,2019,christian,all,female,11388,39.71,36.58,7.88,33.06
2019-20,2019,christian,all,male,11113,75.07,70.02,6.72,28.30
2019-20,2019,christian,rural,all,12627,59.64,55.94,6.20,17.56
2019-20,2019,christian,rural,female,6306,42.80,40.00,6.53,19.13
2019-20,2019,christian,rural,male,6319,77.22,72.58,6.01,16.66
2019-20,2019,christian,urban,all,9878,52.16,47.45,9.03,55.94
2019-20,2019,christian,urban,female,5082,34.28,30.56,10.84,65.05
2019-20,2019,christian,urban,male,4794,71.21,65.44,8.10,51.41
2019-20,2019,hindu,all,all,242343,54.18,51.68,4.61,22.79
2019-20,2019,hindu,all,female,119934,31.29,30.11,3.78,19.56
2019-20,2019,hindu,all,male,122362,76.80,73.00,4.95,24.11
2019-20,2019,hindu,rural,all,139123,56.14,54.02,3.78,12.16
2019-20,2019,hindu,rural,female,69018,34.30,33.45,2.48,8.97
2019-20,2019,hindu,rural,male,70072,77.91,74.52,4.35,13.59
2019-20,2019,hindu,urban,all,103220,49.76,46.41,6.73,50.68
2019-20,2019,hindu,urban,female,50916,24.40,22.46,7.96,55.61
2019-20,2019,hindu,urban,male,52290,74.33,69.62,6.34,49.14
2019-20,2019,jain,all,all,748,46.92,45.85,2.27,32.16
2019-20,2019,jain,all,female,367,19.21,17.95,6.56,39.56
2019-20,2019,jain,all,male,381,73.20,72.32,1.20,30.41
2019-20,2019,jain,rural,all,140,54.27,54.27,0.00,13.59
2019-20,2019,jain,rural,female,63,23.55,23.55,0.00,3.27
2019-20,2019,jain,rural,male,77,81.15,81.15,0.00,16.21
