source_id,source_document,source_sha256_prefix,extraction_run,table,page,religion,residence,sex,metric,value
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,hindu,urban,person,casual_labour,11.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,hindu,total,male,own_account_worker,43.2
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,hindu,total,male,helper_in_household,10.5
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,hindu,total,male,all_self_employed,53.7
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,hindu,total,male,regular_wage_salary,25.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,hindu,total,male,casual_labour,21.0
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,hindu,total,female,own_account_worker,28.5
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,hindu,total,female,helper_in_household,38.1
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,hindu,total,female,all_self_employed,66.5
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,hindu,total,female,regular_wage_salary,15.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,hindu,total,female,casual_labour,17.6
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,hindu,total,person,own_account_worker,37.9
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,hindu,total,person,helper_in_household,20.4
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,hindu,total,person,all_self_employed,58.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,hindu,total,person,regular_wage_salary,21.9
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,hindu,total,person,casual_labour,19.8
