metric_id,geography_level,geography_code,year,religion,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
imr,national,IN,2020,muslim,33.03,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260527T224313Z,"NFHS-5 Table 7.2 urban/rural IMR by religion (27.8/36.5), weighted to total residence using Census 2011 urban/rural population by religion (68,740,419/103,504,739). Year=2020 represents the midpoint of the 5-year period preceding NFHS-5 (2014-2020 approx).",false
imr,national,IN,2020,hindu,35.4,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260527T224313Z,"NFHS-5 Table 7.2 urban/rural IMR by religion (26.9/38.9), weighted to total residence using Census 2011 urban/rural population by religion (282,163,402/684,093,951). Year=2020 represents the midpoint of the 5-year period preceding NFHS-5 (2014-2020 approx).",false
imr,national,IN,2020,all,34.73,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260527T224313Z,"NFHS-5 Table 7.2 urban/rural IMR by religion (26.6/38.4), weighted to total residence using Census 2011 urban/rural population by religion (377,106,125/833,748,852). Year=2020 represents the midpoint of the 5-year period preceding NFHS-5 (2014-2020 approx).",false
