source_id,source_document,source_sha256_prefix,extraction_run,table_name,area_name,area_level,residence,religion,sex,value
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,urban,muslim,persons,25678050
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,urban,muslim,males,13497277
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,urban,muslim,females,12180773
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,urban,christian,persons,4714645
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,urban,christian,males,2378285
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,urban,christian,females,2336360
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,total,sikh,persons,13078146
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,total,sikh,males,6957891
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,total,sikh,females,6120255
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,total,buddhist,persons,4719796
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,total,buddhist,males,2416780
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,total,buddhist,females,2303016
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,rural,sikh,persons,10245347
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,rural,sikh,males,5445357
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,rural,sikh,females,4799990
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,rural,buddhist,persons,3209752
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,rural,buddhist,males,1616181
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,rural,buddhist,females,1593571
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,urban,sikh,persons,2832799
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,urban,sikh,males,1512534
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,urban,sikh,females,1320265
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,urban,buddhist,persons,1510044
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,urban,buddhist,males,800599
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,urban,buddhist,females,709445
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,total,jain,persons,3206038
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,total,jain,males,1651361
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,total,jain,females,1554677
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,total,other,persons,2766285
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,total,other,males,1376106
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,total,other,females,1390179
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,total,not_stated,persons,60217
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,total,not_stated,males,32011
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,total,not_stated,females,28206
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,rural,jain,persons,1155107
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,rural,jain,males,577956
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,rural,jain,females,577151
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,rural,other,persons,2551606
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,rural,other,males,1265464
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,rural,other,females,1286142
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,rural,not_stated,persons,44551
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,rural,not_stated,males,23480
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,rural,not_stated,females,21071
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,urban,jain,persons,2050931
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,urban,jain,males,1073405
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,urban,jain,females,977526
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,urban,other,persons,214679
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,urban,other,males,110642
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,urban,other,females,104037
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,urban,not_stated,persons,15666
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,urban,not_stated,males,8531
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,urban,not_stated,females,7135
