metric_id,geography_level,geography_code,year,religion,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
prison-share,national,IN,2022,muslim,20.17,total_prison_population_religion_reported_540148,,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-share-v1.0.0-20260527T230332Z,"NCRB PSI 2022 Tables 2.10C-2.13C combined (convicts + undertrials + detenues + other prisoners). Computed as STATES+UTs subtotals (equals ALL-INDIA total). Muslim count: 108,968, total: 540,148. Caveat: Maharashtra did not report religion breakdown for undertrials and detenues in PSI 2022, so the religion-reported denominator excludes ~33k Maharashtra prisoners. Shares are 'Muslim share among prisoners whose religion was reported.'",false
prison-share,national,IN,2022,hindu,71.19,total_prison_population_religion_reported_540148,,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-share-v1.0.0-20260527T230332Z,"NCRB PSI 2022 Tables 2.10C-2.13C combined (convicts + undertrials + detenues + other prisoners). Computed as STATES+UTs subtotals (equals ALL-INDIA total). Muslim count: 108,968, total: 540,148. Caveat: Maharashtra did not report religion breakdown for undertrials and detenues in PSI 2022, so the religion-reported denominator excludes ~33k Maharashtra prisoners. Shares are 'Muslim share among prisoners whose religion was reported.'",false
