metric_id,geography_level,geography_code,year,religion,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
undertrial-rate-per-100k,national,IN,2022,muslim,48.75,"population_per_100k (count=83968, pop=172245158)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-undertrial-rate-per-100k-v1.1.0-20260529T030439Z,"Cross-source: NCRB PSI 2022 undertrial counts (Table 2.11C, STATES+UTs subtotals) divided by Census 2011 national religious population times 100,000. NCRB 'others' bucket (Buddhist/Jain/Parsi/not-stated) omitted — no clean population denominator. Caveat: Maharashtra did not report religion for ~33k undertrials; the religion-reported numerator excludes those, so rates are mildly understated.",false
undertrial-rate-per-100k,national,IN,2022,hindu,29.33,"population_per_100k (count=283372, pop=966257353)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-undertrial-rate-per-100k-v1.1.0-20260529T030439Z,"Cross-source: NCRB PSI 2022 undertrial counts (Table 2.11C, STATES+UTs subtotals) divided by Census 2011 national religious population times 100,000. NCRB 'others' bucket (Buddhist/Jain/Parsi/not-stated) omitted — no clean population denominator. Caveat: Maharashtra did not report religion for ~33k undertrials; the religion-reported numerator excludes those, so rates are mildly understated.",false
undertrial-rate-per-100k,national,IN,2022,christian,39.06,"population_per_100k (count=10867, pop=27819588)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-undertrial-rate-per-100k-v1.1.0-20260529T030439Z,"Cross-source: NCRB PSI 2022 undertrial counts (Table 2.11C, STATES+UTs subtotals) divided by Census 2011 national religious population times 100,000. NCRB 'others' bucket (Buddhist/Jain/Parsi/not-stated) omitted — no clean population denominator. Caveat: Maharashtra did not report religion for ~33k undertrials; the religion-reported numerator excludes those, so rates are mildly understated.",false
undertrial-rate-per-100k,national,IN,2022,sikh,97.46,"population_per_100k (count=20303, pop=20833116)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-undertrial-rate-per-100k-v1.1.0-20260529T030439Z,"Cross-source: NCRB PSI 2022 undertrial counts (Table 2.11C, STATES+UTs subtotals) divided by Census 2011 national religious population times 100,000. NCRB 'others' bucket (Buddhist/Jain/Parsi/not-stated) omitted — no clean population denominator. Caveat: Maharashtra did not report religion for ~33k undertrials; the religion-reported numerator excludes those, so rates are mildly understated.",false
undertrial-rate-per-100k,national,IN,2022,all,33.15,"population_per_100k (count=401419, pop=1210854977)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-undertrial-rate-per-100k-v1.1.0-20260529T030439Z,"Cross-source: NCRB PSI 2022 undertrial counts (Table 2.11C, STATES+UTs subtotals) divided by Census 2011 national religious population times 100,000. NCRB 'others' bucket (Buddhist/Jain/Parsi/not-stated) omitted — no clean population denominator. Caveat: Maharashtra did not report religion for ~33k undertrials; the religion-reported numerator excludes those, so rates are mildly understated.",false
