metric_id,geography_level,geography_code,year,religion,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
inst-delivery,national,IN,2020,muslim,84.3,live_births_5y_preceding_survey,37495,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-inst-delivery-v1.0.0-20260529T023406Z,"NFHS-5 Table 8.13 (page 324). % delivered in a health facility, women age 15-49 with a live birth in 5y preceding survey. The 'all' value is computed as sample-size-weighted average of the 7 religion rates; matches NFHS-5 published 88.6% within rounding.",false
inst-delivery,national,IN,2020,hindu,89.5,live_births_5y_preceding_survey,183338,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-inst-delivery-v1.0.0-20260529T023406Z,"NFHS-5 Table 8.13 (page 324). % delivered in a health facility, women age 15-49 with a live birth in 5y preceding survey. The 'all' value is computed as sample-size-weighted average of the 7 religion rates; matches NFHS-5 published 88.6% within rounding.",false
inst-delivery,national,IN,2020,christian,83.3,live_births_5y_preceding_survey,4784,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-inst-delivery-v1.0.0-20260529T023406Z,"NFHS-5 Table 8.13 (page 324). % delivered in a health facility, women age 15-49 with a live birth in 5y preceding survey. The 'all' value is computed as sample-size-weighted average of the 7 religion rates; matches NFHS-5 published 88.6% within rounding.",false
inst-delivery,national,IN,2020,sikh,96.1,live_births_5y_preceding_survey,2890,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-inst-delivery-v1.0.0-20260529T023406Z,"NFHS-5 Table 8.13 (page 324). % delivered in a health facility, women age 15-49 with a live birth in 5y preceding survey. The 'all' value is computed as sample-size-weighted average of the 7 religion rates; matches NFHS-5 published 88.6% within rounding.",false
inst-delivery,national,IN,2020,buddhist,93.8,live_births_5y_preceding_survey,1098,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-inst-delivery-v1.0.0-20260529T023406Z,"NFHS-5 Table 8.13 (page 324). % delivered in a health facility, women age 15-49 with a live birth in 5y preceding survey. The 'all' value is computed as sample-size-weighted average of the 7 religion rates; matches NFHS-5 published 88.6% within rounding.",false
inst-delivery,national,IN,2020,jain,99.7,live_births_5y_preceding_survey,329,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-inst-delivery-v1.0.0-20260529T023406Z,"NFHS-5 Table 8.13 (page 324). % delivered in a health facility, women age 15-49 with a live birth in 5y preceding survey. The 'all' value is computed as sample-size-weighted average of the 7 religion rates; matches NFHS-5 published 88.6% within rounding.",false
inst-delivery,national,IN,2020,other,73.4,live_births_5y_preceding_survey,937,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-inst-delivery-v1.0.0-20260529T023406Z,"NFHS-5 Table 8.13 (page 324). % delivered in a health facility, women age 15-49 with a live birth in 5y preceding survey. The 'all' value is computed as sample-size-weighted average of the 7 religion rates; matches NFHS-5 published 88.6% within rounding.",false
inst-delivery,national,IN,2020,all,88.58,live_births_5y_preceding_survey,230871,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-inst-delivery-v1.0.0-20260529T023406Z,"NFHS-5 Table 8.13 (page 324). % delivered in a health facility, women age 15-49 with a live birth in 5y preceding survey. The 'all' value is computed as sample-size-weighted average of the 7 religion rates; matches NFHS-5 published 88.6% within rounding.",false
