metric_id,geography_level,geography_code,year,religion,sex,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
ger-higher-ed,national,IN,2021,muslim,all,9.83,population_18_23_21445159,2108033,,,aishe,sources/aishe/aishe-report-2021-22.pdf,canonicalize-ger-higher-ed-v1.0.0-20260609T182300Z,"Numerator: AISHE 2021-22 enrolment. Denominator: Census 2011 C-15 population (15-19 + 20-24) × 0.6 as an 18-23 proxy (single-year-age table not pulled). Published national GER 2021-22 = 28.4% (MoSPI projected denominator); our 2011-denominator computation sits ~2-3pp above due to projection vs Census gap. The Muslim-vs-national gap is the story and is robust to the choice of denominator. Total enrolment 4,32,68,181 from AISHE 2021-22 Report p29 prose. Muslim enrolment is the published All-India 'Muslim Minority' total from AISHE Table 15 (the official aggregate, not a sum of state rows). Muslim numerator: 2,108,033; Muslim 18-23 proxy: 21,445,159.",false
ger-higher-ed,national,IN,2021,all,all,31.09,population_18_23_139170403,43268181,,,aishe,sources/aishe/aishe-report-2021-22.pdf,canonicalize-ger-higher-ed-v1.0.0-20260609T182300Z,"Numerator: AISHE 2021-22 enrolment. Denominator: Census 2011 C-15 population (15-19 + 20-24) × 0.6 as an 18-23 proxy (single-year-age table not pulled). Published national GER 2021-22 = 28.4% (MoSPI projected denominator); our 2011-denominator computation sits ~2-3pp above due to projection vs Census gap. The Muslim-vs-national gap is the story and is robust to the choice of denominator. Total enrolment 4,32,68,181 from AISHE 2021-22 Report p29 prose. Muslim enrolment is the published All-India 'Muslim Minority' total from AISHE Table 15 (the official aggregate, not a sum of state rows). National numerator: 43,268,181; national 18-23 proxy: 139,170,403.",false
ger-higher-ed,national,IN,2021,other_minority,all,13.01,population_18_23_6957030,905159,,,aishe,sources/aishe/aishe-report-2021-22.pdf,canonicalize-ger-higher-ed-v1.0.0-20260609T182300Z,"AISHE groups every non-Muslim minority into one 'Other Minority Community' (Christian, Sikh, Buddhist, Jain, Parsi) and never splits them, so this is the finest community comparison the source allows. Numerator: published All-India Other Minority enrolment (9,05,159) from AISHE 2021-22 Report prose alongside the Muslim Minority figure. Denominator: Census 2011 C-15 (15-19 + 20-24) × 0.6, summed over Christian, Sikh, Buddhist and Jain. Other-minority numerator: 905,159; 18-23 proxy: 6,957,030.",false
ger-higher-ed,national,IN,2021,muslim,male,9.66,population_18_23_11068049,1068773,,,aishe,sources/aishe/aishe-report-2021-22.pdf,canonicalize-ger-higher-ed-v1.0.0-20260609T182300Z,By-sex GER: published All-India Minority enrolment by sex (AISHE 2021-22 Report prose) over Census 2011 C-15 18-23 population by sex; other minorities by sex = total Minority minus Muslim.,false
ger-higher-ed,national,IN,2021,other_minority,male,11.91,population_18_23_3587906,427418,,,aishe,sources/aishe/aishe-report-2021-22.pdf,canonicalize-ger-higher-ed-v1.0.0-20260609T182300Z,By-sex GER: published All-India Minority enrolment by sex (AISHE 2021-22 Report prose) over Census 2011 C-15 18-23 population by sex; other minorities by sex = total Minority minus Muslim.,false
ger-higher-ed,national,IN,2021,muslim,female,10.01,population_18_23_10377110,1039260,,,aishe,sources/aishe/aishe-report-2021-22.pdf,canonicalize-ger-higher-ed-v1.0.0-20260609T182300Z,By-sex GER: published All-India Minority enrolment by sex (AISHE 2021-22 Report prose) over Census 2011 C-15 18-23 population by sex; other minorities by sex = total Minority minus Muslim.,false
ger-higher-ed,national,IN,2021,other_minority,female,14.18,population_18_23_3369124,477741,,,aishe,sources/aishe/aishe-report-2021-22.pdf,canonicalize-ger-higher-ed-v1.0.0-20260609T182300Z,By-sex GER: published All-India Minority enrolment by sex (AISHE 2021-22 Report prose) over Census 2011 C-15 18-23 population by sex; other minorities by sex = total Minority minus Muslim.,false
ger-higher-ed,state,IN-S01,2021,muslim,all,13.91,population_18_23_992782,138142,,,aishe,sources/aishe/aishe-report-2021-22.pdf,canonicalize-ger-higher-ed-v1.0.0-20260609T182300Z,"Per-state Muslim GER: Muslim enrolment as reported by each state to AISHE 2021-22 over Census 2011 C-15 Muslim 18-23 by state. States report minority enrolment incompletely (the All-India total exceeds the state sum), so read the spread across states, not the precise level.",false
ger-higher-ed,state,IN-S02,2021,muslim,all,6.79,population_18_23_19366,1314,,,aishe,sources/aishe/aishe-report-2021-22.pdf,canonicalize-ger-higher-ed-v1.0.0-20260609T182300Z,"Per-state Muslim GER: Muslim enrolment as reported by each state to AISHE 2021-22 over Census 2011 C-15 Muslim 18-23 by state. States report minority enrolment incompletely (the All-India total exceeds the state sum), so read the spread across states, not the precise level.",false
ger-higher-ed,state,IN-S03,2021,muslim,all,28.64,population_18_23_69545,19917,,,aishe,sources/aishe/aishe-report-2021-22.pdf,canonicalize-ger-higher-ed-v1.0.0-20260609T182300Z,"Per-state Muslim GER: Muslim enrolment as reported by each state to AISHE 2021-22 over Census 2011 C-15 Muslim 18-23 by state. States report minority enrolment incompletely (the All-India total exceeds the state sum), so read the spread across states, not the precise level.",false
