metric_id,geography_level,geography_code,year,religion,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
salaried-share,national,IN,2023,muslim,18.0,all_workers_usual_status_ps_ss,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-salaried-share-v1.0.0-20260528T023117Z,"PLFS 2023-24 Table 49 (pages 401-402). Share of workers in 'regular wage/salary' employment, rural+urban person-level. Other categories: self-employed (own account + helper), casual labour. Reference period: Jul 2023 - Jun 2024.",false
salaried-share,national,IN,2023,hindu,21.9,all_workers_usual_status_ps_ss,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-salaried-share-v1.0.0-20260528T023117Z,"PLFS 2023-24 Table 49 (pages 401-402). Share of workers in 'regular wage/salary' employment, rural+urban person-level. Other categories: self-employed (own account + helper), casual labour. Reference period: Jul 2023 - Jun 2024.",false
salaried-share,national,IN,2023,all,21.7,all_workers_usual_status_ps_ss,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-salaried-share-v1.0.0-20260528T023117Z,"PLFS 2023-24 Table 49 (pages 401-402). Share of workers in 'regular wage/salary' employment, rural+urban person-level. Other categories: self-employed (own account + helper), casual labour. Reference period: Jul 2023 - Jun 2024.",false
