metric_id,geography_level,geography_code,year,religion,residence,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
institutional-credit-share,national,IN,2012,muslim,all,68.31,outstanding_cash_debt_of_indebted_households,13701,,,aidis-2013,sources/nada/aidis-2013-v1/CSV_NSS_70th_Debt_&_Investment_Visit1_Jan_Dec_2013.zip,canonicalize-institutional-credit-share-v2.0.0-20260611T164504Z,"Computed from AIDIS 2013 (NSS 70th round, Sch 18.2) Visit-1 unit-level microdata pulled via the MoSPI NADA API: institutional share of outstanding cash debt (credit-agency codes 01-08, 10, 11; code 09 'others' is non-institutional), rural+urban, as on 30.06.2012, weighted. Reproduces the published all-India shares exactly (rural 56.0 / urban 84.5, KI(70/18.2) Table 8). Computed among indebted households only (incidence of indebtedness: Muslim 23.8% vs Hindu 29.0% - Muslims borrow least), so religion x residence cells ride on smaller samples (about 1,700 indebted rural Muslim households); sample_size shows all surveyed households in the cell. NSO unit-data rider: religion is self-reported; the split is indicative; no sub-state estimates. Year=2012 is the as-on date; fielded January-December 2013.",false
institutional-credit-share,national,IN,2012,muslim,rural,64.58,outstanding_cash_debt_of_indebted_households,6349,,,aidis-2013,sources/nada/aidis-2013-v1/CSV_NSS_70th_Debt_&_Investment_Visit1_Jan_Dec_2013.zip,canonicalize-institutional-credit-share-v2.0.0-20260611T164504Z,"Computed from AIDIS 2013 (NSS 70th round, Sch 18.2) Visit-1 unit-level microdata pulled via the MoSPI NADA API: institutional share of outstanding cash debt (credit-agency codes 01-08, 10, 11; code 09 'others' is non-institutional), rural, as on 30.06.2012, weighted. Reproduces the published all-India shares exactly (rural 56.0 / urban 84.5, KI(70/18.2) Table 8). Computed among indebted households only (incidence of indebtedness: Muslim 23.8% vs Hindu 29.0% - Muslims borrow least), so religion x residence cells ride on smaller samples (about 1,700 indebted rural Muslim households); sample_size shows all surveyed households in the cell. NSO unit-data rider: religion is self-reported; the split is indicative; no sub-state estimates. Year=2012 is the as-on date; fielded January-December 2013.",false
institutional-credit-share,national,IN,2012,muslim,urban,72.73,outstanding_cash_debt_of_indebted_households,7352,,,aidis-2013,sources/nada/aidis-2013-v1/CSV_NSS_70th_Debt_&_Investment_Visit1_Jan_Dec_2013.zip,canonicalize-institutional-credit-share-v2.0.0-20260611T164504Z,"Computed from AIDIS 2013 (NSS 70th round, Sch 18.2) Visit-1 unit-level microdata pulled via the MoSPI NADA API: institutional share of outstanding cash debt (credit-agency codes 01-08, 10, 11; code 09 'others' is non-institutional), urban, as on 30.06.2012, weighted. Reproduces the published all-India shares exactly (rural 56.0 / urban 84.5, KI(70/18.2) Table 8). Computed among indebted households only (incidence of indebtedness: Muslim 23.8% vs Hindu 29.0% - Muslims borrow least), so religion x residence cells ride on smaller samples (about 1,700 indebted rural Muslim households); sample_size shows all surveyed households in the cell. NSO unit-data rider: religion is self-reported; the split is indicative; no sub-state estimates. Year=2012 is the as-on date; fielded January-December 2013.",false
institutional-credit-share,national,IN,2012,hindu,all,72.41,outstanding_cash_debt_of_indebted_households,86095,,,aidis-2013,sources/nada/aidis-2013-v1/CSV_NSS_70th_Debt_&_Investment_Visit1_Jan_Dec_2013.zip,canonicalize-institutional-credit-share-v2.0.0-20260611T164504Z,"Computed from AIDIS 2013 (NSS 70th round, Sch 18.2) Visit-1 unit-level microdata pulled via the MoSPI NADA API: institutional share of outstanding cash debt (credit-agency codes 01-08, 10, 11; code 09 'others' is non-institutional), rural+urban, as on 30.06.2012, weighted. Reproduces the published all-India shares exactly (rural 56.0 / urban 84.5, KI(70/18.2) Table 8). Computed among indebted households only (incidence of indebtedness: Muslim 23.8% vs Hindu 29.0% - Muslims borrow least), so religion x residence cells ride on smaller samples (about 1,700 indebted rural Muslim households); sample_size shows all surveyed households in the cell. NSO unit-data rider: religion is self-reported; the split is indicative; no sub-state estimates. Year=2012 is the as-on date; fielded January-December 2013.",false
institutional-credit-share,national,IN,2012,hindu,rural,53.80,outstanding_cash_debt_of_indebted_households,49385,,,aidis-2013,sources/nada/aidis-2013-v1/CSV_NSS_70th_Debt_&_Investment_Visit1_Jan_Dec_2013.zip,canonicalize-institutional-credit-share-v2.0.0-20260611T164504Z,"Computed from AIDIS 2013 (NSS 70th round, Sch 18.2) Visit-1 unit-level microdata pulled via the MoSPI NADA API: institutional share of outstanding cash debt (credit-agency codes 01-08, 10, 11; code 09 'others' is non-institutional), rural, as on 30.06.2012, weighted. Reproduces the published all-India shares exactly (rural 56.0 / urban 84.5, KI(70/18.2) Table 8). Computed among indebted households only (incidence of indebtedness: Muslim 23.8% vs Hindu 29.0% - Muslims borrow least), so religion x residence cells ride on smaller samples (about 1,700 indebted rural Muslim households); sample_size shows all surveyed households in the cell. NSO unit-data rider: religion is self-reported; the split is indicative; no sub-state estimates. Year=2012 is the as-on date; fielded January-December 2013.",false
institutional-credit-share,national,IN,2012,hindu,urban,85.37,outstanding_cash_debt_of_indebted_households,36710,,,aidis-2013,sources/nada/aidis-2013-v1/CSV_NSS_70th_Debt_&_Investment_Visit1_Jan_Dec_2013.zip,canonicalize-institutional-credit-share-v2.0.0-20260611T164504Z,"Computed from AIDIS 2013 (NSS 70th round, Sch 18.2) Visit-1 unit-level microdata pulled via the MoSPI NADA API: institutional share of outstanding cash debt (credit-agency codes 01-08, 10, 11; code 09 'others' is non-institutional), urban, as on 30.06.2012, weighted. Reproduces the published all-India shares exactly (rural 56.0 / urban 84.5, KI(70/18.2) Table 8). Computed among indebted households only (incidence of indebtedness: Muslim 23.8% vs Hindu 29.0% - Muslims borrow least), so religion x residence cells ride on smaller samples (about 1,700 indebted rural Muslim households); sample_size shows all surveyed households in the cell. NSO unit-data rider: religion is self-reported; the split is indicative; no sub-state estimates. Year=2012 is the as-on date; fielded January-December 2013.",false
institutional-credit-share,national,IN,2012,christian,all,79.93,outstanding_cash_debt_of_indebted_households,6989,,,aidis-2013,sources/nada/aidis-2013-v1/CSV_NSS_70th_Debt_&_Investment_Visit1_Jan_Dec_2013.zip,canonicalize-institutional-credit-share-v2.0.0-20260611T164504Z,"Computed from AIDIS 2013 (NSS 70th round, Sch 18.2) Visit-1 unit-level microdata pulled via the MoSPI NADA API: institutional share of outstanding cash debt (credit-agency codes 01-08, 10, 11; code 09 'others' is non-institutional), rural+urban, as on 30.06.2012, weighted. Reproduces the published all-India shares exactly (rural 56.0 / urban 84.5, KI(70/18.2) Table 8). Computed among indebted households only (incidence of indebtedness: Muslim 23.8% vs Hindu 29.0% - Muslims borrow least), so religion x residence cells ride on smaller samples (about 1,700 indebted rural Muslim households); sample_size shows all surveyed households in the cell. NSO unit-data rider: religion is self-reported; the split is indicative; no sub-state estimates. Year=2012 is the as-on date; fielded January-December 2013.",false
institutional-credit-share,national,IN,2012,christian,rural,74.81,outstanding_cash_debt_of_indebted_households,4009,,,aidis-2013,sources/nada/aidis-2013-v1/CSV_NSS_70th_Debt_&_Investment_Visit1_Jan_Dec_2013.zip,canonicalize-institutional-credit-share-v2.0.0-20260611T164504Z,"Computed from AIDIS 2013 (NSS 70th round, Sch 18.2) Visit-1 unit-level microdata pulled via the MoSPI NADA API: institutional share of outstanding cash debt (credit-agency codes 01-08, 10, 11; code 09 'others' is non-institutional), rural, as on 30.06.2012, weighted. Reproduces the published all-India shares exactly (rural 56.0 / urban 84.5, KI(70/18.2) Table 8). Computed among indebted households only (incidence of indebtedness: Muslim 23.8% vs Hindu 29.0% - Muslims borrow least), so religion x residence cells ride on smaller samples (about 1,700 indebted rural Muslim households); sample_size shows all surveyed households in the cell. NSO unit-data rider: religion is self-reported; the split is indicative; no sub-state estimates. Year=2012 is the as-on date; fielded January-December 2013.",false
institutional-credit-share,national,IN,2012,christian,urban,81.71,outstanding_cash_debt_of_indebted_households,2980,,,aidis-2013,sources/nada/aidis-2013-v1/CSV_NSS_70th_Debt_&_Investment_Visit1_Jan_Dec_2013.zip,canonicalize-institutional-credit-share-v2.0.0-20260611T164504Z,"Computed from AIDIS 2013 (NSS 70th round, Sch 18.2) Visit-1 unit-level microdata pulled via the MoSPI NADA API: institutional share of outstanding cash debt (credit-agency codes 01-08, 10, 11; code 09 'others' is non-institutional), urban, as on 30.06.2012, weighted. Reproduces the published all-India shares exactly (rural 56.0 / urban 84.5, KI(70/18.2) Table 8). Computed among indebted households only (incidence of indebtedness: Muslim 23.8% vs Hindu 29.0% - Muslims borrow least), so religion x residence cells ride on smaller samples (about 1,700 indebted rural Muslim households); sample_size shows all surveyed households in the cell. NSO unit-data rider: religion is self-reported; the split is indicative; no sub-state estimates. Year=2012 is the as-on date; fielded January-December 2013.",false
institutional-credit-share,national,IN,2012,sikh,all,74.07,outstanding_cash_debt_of_indebted_households,1966,,,aidis-2013,sources/nada/aidis-2013-v1/CSV_NSS_70th_Debt_&_Investment_Visit1_Jan_Dec_2013.zip,canonicalize-institutional-credit-share-v2.0.0-20260611T164504Z,"Computed from AIDIS 2013 (NSS 70th round, Sch 18.2) Visit-1 unit-level microdata pulled via the MoSPI NADA API: institutional share of outstanding cash debt (credit-agency codes 01-08, 10, 11; code 09 'others' is non-institutional), rural+urban, as on 30.06.2012, weighted. Reproduces the published all-India shares exactly (rural 56.0 / urban 84.5, KI(70/18.2) Table 8). Computed among indebted households only (incidence of indebtedness: Muslim 23.8% vs Hindu 29.0% - Muslims borrow least), so religion x residence cells ride on smaller samples (about 1,700 indebted rural Muslim households); sample_size shows all surveyed households in the cell. NSO unit-data rider: religion is self-reported; the split is indicative; no sub-state estimates. Year=2012 is the as-on date; fielded January-December 2013.",false
