district_code,state,district,year,religion,value,source
IN-S05-D065,Uttarakhand,Champawat,2011,muslim,3.348,census-india-2011
IN-S05-D066,Uttarakhand,Nainital,2011,muslim,12.6484,census-india-2011
IN-S05-D067,Uttarakhand,Udham Singh Nagar,2011,muslim,22.5767,census-india-2011
IN-S05-D068,Uttarakhand,Hardwar,2011,muslim,34.2844,census-india-2011
IN-S06-D069,Haryana,Panchkula,2011,muslim,4.178,census-india-2011
IN-S06-D070,Haryana,Ambala,2011,muslim,1.9624,census-india-2011
IN-S06-D071,Haryana,Yamunanagar,2011,muslim,11.4123,census-india-2011
IN-S06-D072,Haryana,Kurukshetra,2011,muslim,1.6555,census-india-2011
IN-S06-D073,Haryana,Kaithal,2011,muslim,0.7663,census-india-2011
IN-S06-D074,Haryana,Karnal,2011,muslim,2.1025,census-india-2011
IN-S06-D075,Haryana,Panipat,2011,muslim,7.1859,census-india-2011
IN-S06-D076,Haryana,Sonipat,2011,muslim,3.1103,census-india-2011
IN-S06-D077,Haryana,Jind,2011,muslim,1.7251,census-india-2011
IN-S06-D078,Haryana,Fatehabad,2011,muslim,0.8875,census-india-2011
IN-S06-D079,Haryana,Sirsa,2011,muslim,0.7353,census-india-2011
IN-S06-D080,Haryana,Hisar,2011,muslim,1.2414,census-india-2011
IN-S06-D081,Haryana,Bhiwani,2011,muslim,0.9493,census-india-2011
IN-S06-D082,Haryana,Rohtak,2011,muslim,0.7713,census-india-2011
IN-S06-D083,Haryana,Jhajjar,2011,muslim,0.8605,census-india-2011
IN-S06-D084,Haryana,Mahendragarh,2011,muslim,0.6138,census-india-2011
IN-S06-D085,Haryana,Rewari,2011,muslim,0.6345,census-india-2011
IN-S06-D086,Haryana,Gurgaon,2011,muslim,4.6778,census-india-2011
IN-S06-D087,Haryana,Mewat,2011,muslim,79.1955,census-india-2011
IN-S06-D088,Haryana,Faridabad,2011,muslim,8.9339,census-india-2011
IN-S06-D089,Haryana,Palwal,2011,muslim,20.0023,census-india-2011
IN-S07-D090,NCT of Delhi,North West,2011,muslim,7.9674,census-india-2011
IN-S07-D091,NCT of Delhi,North,2011,muslim,13.4904,census-india-2011
IN-S07-D092,NCT of Delhi,North East,2011,muslim,29.3352,census-india-2011
IN-S07-D093,NCT of Delhi,East,2011,muslim,10.4606,census-india-2011
IN-S07-D094,NCT of Delhi,New Delhi,2011,muslim,5.9717,census-india-2011
IN-S07-D095,NCT of Delhi,Central,2011,muslim,33.3628,census-india-2011
IN-S07-D096,NCT of Delhi,West,2011,muslim,5.8904,census-india-2011
IN-S07-D097,NCT of Delhi,South West,2011,muslim,4.9147,census-india-2011
IN-S07-D098,NCT of Delhi,South,2011,muslim,16.3223,census-india-2011
IN-S08-D099,Rajasthan,Ganganagar,2011,muslim,2.5741,census-india-2011
IN-S08-D100,Rajasthan,Hanumangarh,2011,muslim,6.687,census-india-2011
IN-S08-D101,Rajasthan,Bikaner,2011,muslim,9.9724,census-india-2011
IN-S08-D102,Rajasthan,Churu,2011,muslim,12.2447,census-india-2011
IN-S08-D103,Rajasthan,Jhunjhunun,2011,muslim,10.6773,census-india-2011
IN-S08-D104,Rajasthan,Alwar,2011,muslim,14.8968,census-india-2011
